time,X,Y,Z
2.65,0.176701,1.331767,-0.33557
2.66,0.175539,1.313427,-0.335076
2.67,0.174583,1.295128,-0.334091
2.68,0.173914,1.277058,-0.332371
2.69,0.173212,1.259124,-0.330375
2.7,0.172732,1.241419,-0.327699
2.71,0.172503,1.223869,-0.324472
2.72,0.17255,1.206951,-0.321022
2.73,0.172594,1.190235,-0.317302
2.74,0.172786,1.174314,-0.313169
2.75,0.171262,1.158794,-0.308174
2.76,0.172715,1.143539,-0.302819
2.77,0.174098,1.128596,-0.297128
2.78,0.174847,1.11369,-0.290087
2.79,0.175693,1.098694,-0.282178
2.8,0.176432,1.08365,-0.273277
2.81,0.177152,1.068593,-0.264323
2.82,0.177651,1.053882,-0.255345
2.83,0.177934,1.039869,-0.246524
2.84,0.177936,1.026863,-0.2376
2.85,0.177736,1.014099,-0.228531
2.86,0.177594,1.00196,-0.218778
2.87,0.177441,0.990039,-0.208261
2.88,0.177324,0.978297,-0.196796
2.89,0.177152,0.966633,-0.185204
2.9,0.176971,0.955101,-0.173244
2.91,0.176802,0.943799,-0.161236
2.92,0.176479,0.933124,-0.149415
2.93,0.175986,0.922726,-0.137458
2.94,0.175592,0.913073,-0.125535
2.95,0.175252,0.903999,-0.113412
2.96,0.175072,0.895611,-0.100826
2.97,0.174839,0.887586,-0.088128
2.98,0.174932,0.880027,-0.07472
2.99,0.175127,0.87298,-0.060916
3,0.175432,0.866404,-0.046976
3.01,0.175706,0.859965,-0.033016
3.02,0.175858,0.853985,-0.019332
3.03,0.175885,0.848497,-0.006258
3.04,0.175638,0.843768,0.005992
3.05,0.175281,0.839326,0.018181
3.06,0.174693,0.835626,0.029457
3.07,0.174058,0.832528,0.040136
3.08,0.173222,0.830067,0.050165
3.09,0.172365,0.82779,0.060135
3.1,0.17149,0.825972,0.069591
3.11,0.170604,0.824512,0.078529
3.12,0.169826,0.823621,0.087293
3.13,0.170224,0.823571,0.095643
3.14,0.172204,0.82401,0.104584
3.15,0.17461,0.824823,0.113208
3.16,0.176508,0.825206,0.119706
3.17,0.178613,0.825815,0.123834
3.18,0.180916,0.826501,0.126483
3.19,0.183404,0.827287,0.128497
3.2,0.18605,0.827582,0.13011
3.21,0.188607,0.8275,0.131447
3.22,0.191096,0.827293,0.132313
3.23,0.193449,0.827146,0.132912
3.24,0.195997,0.826862,0.13297
3.25,0.198551,0.826692,0.132533
3.26,0.20104,0.826563,0.131571
3.27,0.2035,0.826423,0.130298
3.28,0.20589,0.826412,0.128909
3.29,0.208209,0.826487,0.127598
3.3,0.210384,0.826638,0.126519
3.31,0.212505,0.826806,0.12572
3.32,0.214547,0.826933,0.125407
3.33,0.216392,0.827102,0.125357
3.34,0.218292,0.827234,0.125715
3.35,0.220003,0.827281,0.126274
3.36,0.221678,0.827305,0.126871
3.37,0.223249,0.827222,0.127714
3.38,0.224775,0.827067,0.128537
3.39,0.226195,0.82694,0.129411
3.4,0.227528,0.826802,0.130385
3.41,0.22874,0.826656,0.131364
3.42,0.229876,0.826581,0.132318
3.43,0.230957,0.826445,0.133473
3.44,0.231854,0.826402,0.134397
3.45,0.232706,0.826306,0.135542
3.46,0.233417,0.826219,0.136508
3.47,0.234081,0.826046,0.137382
3.48,0.234712,0.825824,0.138318
3.49,0.235255,0.825563,0.139065
3.5,0.235683,0.825291,0.139733
3.51,0.236122,0.825027,0.140482
3.52,0.236521,0.824739,0.1411
3.53,0.236812,0.824502,0.141647
3.54,0.237066,0.824347,0.1422
3.55,0.237282,0.824208,0.142772
3.56,0.237432,0.824099,0.14331
3.57,0.23758,0.824043,0.143782
3.58,0.237655,0.823979,0.144162
3.59,0.237647,0.823933,0.144518
3.6,0.237629,0.823894,0.144866
3.61,0.237576,0.823865,0.145217
3.62,0.237446,0.823843,0.145629
3.63,0.2373,0.823805,0.146077
3.64,0.23709,0.823757,0.146534
3.65,0.236865,0.823734,0.146963
3.66,0.236662,0.823699,0.147357
3.67,0.236414,0.823674,0.147763
3.68,0.236143,0.823653,0.148197
3.69,0.235861,0.823652,0.148676
3.7,0.23555,0.823639,0.149182
3.71,0.235253,0.823663,0.149597
3.72,0.235003,0.823729,0.149982
3.73,0.234749,0.823801,0.150337
3.74,0.234476,0.823828,0.150718
3.75,0.234177,0.823889,0.151181
3.76,0.233863,0.823905,0.151652
3.77,0.233556,0.823915,0.152061
3.78,0.233357,0.823921,0.152461
3.79,0.233163,0.823883,0.152867
3.8,0.232957,0.823817,0.153324
3.81,0.232697,0.823753,0.153892
3.82,0.232474,0.823707,0.154413
3.83,0.232356,0.823664,0.154823
3.84,0.232248,0.823612,0.155232
3.85,0.232166,0.823561,0.155658
3.86,0.232102,0.823477,0.156083
3.87,0.232031,0.823382,0.156561
3.88,0.232,0.823272,0.157028
3.89,0.232034,0.823166,0.157446
3.9,0.232098,0.82306,0.157916
3.91,0.232193,0.822961,0.158397
3.92,0.232313,0.822856,0.158871
3.93,0.232436,0.822771,0.15934
3.94,0.232584,0.822687,0.159812
3.95,0.232754,0.822608,0.160272
3.96,0.232961,0.822568,0.16081
3.97,0.233199,0.822478,0.161343
3.98,0.233437,0.822386,0.161931
3.99,0.233643,0.822309,0.162447
4,0.233884,0.822236,0.162898
4.01,0.23415,0.82215,0.163308
4.02,0.234463,0.822058,0.1637
4.03,0.234773,0.82197,0.164114
4.04,0.235068,0.821882,0.164608
4.05,0.235363,0.82184,0.165015
4.06,0.235721,0.821772,0.1654
4.07,0.236056,0.821732,0.165776
4.08,0.236357,0.821684,0.166181
4.09,0.236671,0.821663,0.166551
4.1,0.236993,0.821628,0.167041
4.11,0.23731,0.821569,0.167511
4.12,0.237602,0.821512,0.167953
4.13,0.237929,0.821449,0.168383
4.14,0.238263,0.821367,0.168805
4.15,0.238549,0.821329,0.169285
4.16,0.23885,0.821262,0.169812
4.17,0.239089,0.821202,0.170293
4.18,0.239318,0.821173,0.170743
4.19,0.239525,0.821133,0.171142
4.2,0.239746,0.821094,0.171558
4.21,0.239965,0.821073,0.17202
4.22,0.240161,0.821033,0.172513
4.23,0.240355,0.821027,0.172968
4.24,0.240546,0.820932,0.173403
4.25,0.240707,0.820848,0.173828
4.26,0.240801,0.820768,0.174264
4.27,0.240872,0.820695,0.174724
4.28,0.240951,0.82066,0.175184
4.29,0.241029,0.820621,0.1756
4.3,0.24113,0.820561,0.175963
4.31,0.24121,0.820502,0.176293
4.32,0.241299,0.820456,0.176599
4.33,0.241368,0.820376,0.176885
4.34,0.241423,0.820336,0.177153
4.35,0.241449,0.820315,0.177422
4.36,0.241494,0.82031,0.177672
4.37,0.241527,0.820329,0.177904
4.38,0.241555,0.82035,0.17812
4.39,0.241594,0.820388,0.178313
4.4,0.241618,0.820422,0.178511
4.41,0.241615,0.820418,0.178698
4.42,0.241607,0.820405,0.1789
4.43,0.241593,0.820388,0.179068
4.44,0.241583,0.820353,0.179222
4.45,0.241572,0.820315,0.179355
4.46,0.241583,0.820291,0.179441
4.47,0.241601,0.820289,0.179516
